,順位,アウェイ,年度,節数
196,21,讃岐,2017,第9
197,22,群馬,2017,第9
198,1,横浜FC,2017,第10
199,2,名古屋,2017,第10
200,3,湘南,2017,第10
201,4,東京Ｖ,2017,第10
202,5,福岡,2017,第10
203,6,松本,2017,第10
204,7,徳島,2017,第10
205,8,長崎,2017,第10
206,9,大分,2017,第10
207,10,岐阜,2017,第10
208,11,愛媛,2017,第10
209,12,千葉,2017,第10
210,13,水戸,2017,第10
211,14,山形,2017,第10
212,15,町田,2017,第10
213,16,岡山,2017,第10
214,17,京都,2017,第10
215,18,熊本,2017,第10
216,19,山口,2017,第10
217,20,金沢,2017,第10
218,21,讃岐,2017,第10
219,22,群馬,2017,第10
220,1,横浜FC,2017,第11
221,2,湘南,2017,第11
222,3,名古屋,2017,第11
223,4,東京Ｖ,2017,第11
224,5,徳島,2017,第11
225,6,長崎,2017,第11
226,7,松本,2017,第11
227,8,岐阜,2017,第11
228,9,福岡,2017,第11
229,10,大分,2017,第11
230,11,千葉,2017,第11
231,12,町田,2017,第11
232,13,水戸,2017,第11
233,14,愛媛,2017,第11
234,15,山形,2017,第11
235,16,京都,2017,第11
236,17,岡山,2017,第11
237,18,熊本,2017,第11
238,19,山口,2017,第11
239,20,讃岐,2017,第11
240,21,金沢,2017,第11
241,22,群馬,2017,第11
242,1,横浜FC,2017,第12
243,2,湘南,2017,第12
244,3,名古屋,2017,第12
245,4,東京Ｖ,2017,第12
246,5,福岡,2017,第12
247,6,長崎,2017,第12
248,7,徳島,2017,第12
249,8,大分,2017,第12
250,9,松本,2017,第12
251,10,岐阜,2017,第12
252,11,愛媛,2017,第12
253,12,町田,2017,第12
254,13,水戸,2017,第12
255,14,千葉,2017,第12
256,15,京都,2017,第12
257,16,山形,2017,第12
258,17,岡山,2017,第12
259,18,熊本,2017,第12
260,19,金沢,2017,第12
261,20,山口,2017,第12
262,21,讃岐,2017,第12
263,22,群馬,2017,第12
264,1,湘南,2017,第13
265,2,横浜FC,2017,第13
266,3,福岡,2017,第13
267,4,東京Ｖ,2017,第13
268,5,大分,2017,第13
269,6,名古屋,2017,第13
270,7,徳島,2017,第13
271,8,愛媛,2017,第13
272,9,長崎,2017,第13
273,10,松本,2017,第13
274,11,岐阜,2017,第13
275,12,千葉,2017,第13
276,13,町田,2017,第13
277,14,水戸,2017,第13
278,15,京都,2017,第13
279,16,山形,2017,第13
280,17,岡山,2017,第13
281,18,金沢,2017,第13
282,19,熊本,2017,第13
283,20,山口,2017,第13
284,21,讃岐,2017,第13
285,22,群馬,2017,第13
286,1,横浜FC,2017,第14
287,2,福岡,2017,第14
288,3,湘南,2017,第14
289,4,東京Ｖ,2017,第14
290,5,名古屋,2017,第14
291,6,愛媛,2017,第14
292,7,大分,2017,第14
293,8,長崎,2017,第14
294,9,徳島,2017,第14
295,10,松本,2017,第14
296,11,岐阜,2017,第14
297,12,千葉,2017,第14
298,13,山形,2017,第14
299,14,水戸,2017,第14
300,15,町田,2017,第14
301,16,京都,2017,第14
302,17,岡山,2017,第14
303,18,熊本,2017,第14
304,19,金沢,2017,第14
305,20,山口,2017,第14
306,21,讃岐,2017,第14
307,22,群馬,2017,第14
308,1,福岡,2017,第15
309,2,湘南,2017,第15
310,3,横浜FC,2017,第15
311,4,名古屋,2017,第15
312,5,東京Ｖ,2017,第15
313,6,大分,2017,第15
314,7,長崎,2017,第15
315,8,愛媛,2017,第15
316,9,徳島,2017,第15
317,10,山形,2017,第15
318,11,岐阜,2017,第15
319,12,京都,2017,第15
320,13,千葉,2017,第15
321,14,松本,2017,第15
322,15,水戸,2017,第15
323,16,町田,2017,第15
324,17,岡山,2017,第15
325,18,熊本,2017,第15
326,19,金沢,2017,第15
327,20,山口,2017,第15
328,21,群馬,2017,第15
329,22,讃岐,2017,第15
330,1,名古屋,2017,第16
331,2,福岡,2017,第16
332,3,湘南,2017,第16
333,4,横浜FC,2017,第16
334,5,長崎,2017,第16
335,6,東京Ｖ,2017,第16
336,7,大分,2017,第16
337,8,山形,2017,第16
338,9,徳島,2017,第16
339,10,愛媛,2017,第16
340,11,千葉,2017,第16
341,12,松本,2017,第16
342,13,水戸,2017,第16
343,14,岐阜,2017,第16
344,15,町田,2017,第16
345,16,京都,2017,第16
346,17,岡山,2017,第16
347,18,熊本,2017,第16
348,19,金沢,2017,第16
349,20,群馬,2017,第16
350,21,讃岐,2017,第16
351,22,山口,2017,第16
352,1,福岡,2017,第17
353,2,横浜FC,2017,第17
354,3,名古屋,2017,第17
355,4,湘南,2017,第17
356,5,長崎,2017,第17
357,6,東京Ｖ,2017,第17
358,7,徳島,2017,第17
359,8,愛媛,2017,第17
360,9,山形,2017,第17
361,10,水戸,2017,第17
362,11,大分,2017,第17
363,12,京都,2017,第17
364,13,松本,2017,第17
365,14,千葉,2017,第17
366,15,岐阜,2017,第17
367,16,岡山,2017,第17
368,17,町田,2017,第17
369,18,金沢,2017,第17
370,19,熊本,2017,第17
371,20,群馬,2017,第17
372,21,讃岐,2017,第17
373,22,山口,2017,第17
374,1,福岡,2017,第18
375,2,湘南,2017,第18
376,3,横浜FC,2017,第18
377,4,名古屋,2017,第18
378,5,長崎,2017,第18
379,6,東京Ｖ,2017,第18
380,7,愛媛,2017,第18
381,8,山形,2017,第18
382,9,水戸,2017,第18
383,10,徳島,2017,第18
384,11,大分,2017,第18
385,12,京都,2017,第18
386,13,岡山,2017,第18
387,14,千葉,2017,第18
388,15,松本,2017,第18
389,16,岐阜,2017,第18
390,17,町田,2017,第18
391,18,金沢,2017,第18
392,19,熊本,2017,第18
393,20,讃岐,2017,第18
394,21,群馬,2017,第18
395,22,山口,2017,第18
396,1,福岡,2017,第19
397,2,湘南,2017,第19
398,3,横浜FC,2017,第19
399,4,長崎,2017,第19
400,5,山形,2017,第19
401,6,東京Ｖ,2017,第19
402,7,水戸,2017,第19
403,8,名古屋,2017,第19
404,9,愛媛,2017,第19
405,10,徳島,2017,第19
406,11,大分,2017,第19
407,12,松本,2017,第19
408,13,岡山,2017,第19
409,14,京都,2017,第19
410,15,千葉,2017,第19
411,16,岐阜,2017,第19
412,17,町田,2017,第19
413,18,金沢,2017,第19
414,19,熊本,2017,第19
415,20,讃岐,2017,第19
416,21,群馬,2017,第19
417,22,山口,2017,第19
418,1,福岡,2017,第20
419,2,湘南,2017,第20
420,3,東京Ｖ,2017,第20
421,4,水戸,2017,第20
422,5,名古屋,2017,第20
423,6,徳島,2017,第20
424,7,横浜FC,2017,第20
425,8,大分,2017,第20
426,9,長崎,2017,第20
427,10,山形,2017,第20
428,11,愛媛,2017,第20
429,12,松本,2017,第20
430,13,千葉,2017,第20
431,14,岡山,2017,第20
432,15,京都,2017,第20
433,16,岐阜,2017,第20
434,17,町田,2017,第20
435,18,金沢,2017,第20
436,19,熊本,2017,第20
