,順位,アウェイ,年度,節数
981,12,徳島,2018,第3
982,15,岐阜,2018,第3
983,16,熊本,2018,第3
984,17,松本,2018,第3
985,18,甲府,2018,第3
986,19,京都,2018,第3
987,20,千葉,2018,第3
988,21,愛媛,2018,第3
989,22,栃木,2018,第3
990,1,水戸,2018,第4
991,2,岡山,2018,第4
992,3,山口,2018,第4
993,4,新潟,2018,第4
994,5,町田,2018,第4
995,6,東京Ｖ,2018,第4
996,7,福岡,2018,第4
997,8,横浜FC,2018,第4
998,9,徳島,2018,第4
999,10,熊本,2018,第4
1000,11,大分,2018,第4
1001,12,甲府,2018,第4
1002,13,京都,2018,第4
1003,14,山形,2018,第4
1004,15,大宮,2018,第4
1005,16,金沢,2018,第4
1006,17,松本,2018,第4
1007,18,讃岐,2018,第4
1008,19,岐阜,2018,第4
1009,20,栃木,2018,第4
1010,21,千葉,2018,第4
1011,22,愛媛,2018,第4
1012,1,岡山,2018,第5
1013,2,町田,2018,第5
1014,3,水戸,2018,第5
1015,4,山口,2018,第5
1016,5,横浜FC,2018,第5
1017,6,徳島,2018,第5
1018,7,東京Ｖ,2018,第5
1019,8,熊本,2018,第5
1020,9,大分,2018,第5
1021,10,新潟,2018,第5
1022,11,福岡,2018,第5
1023,12,甲府,2018,第5
1024,13,金沢,2018,第5
1025,14,京都,2018,第5
1026,15,山形,2018,第5
1027,16,千葉,2018,第5
1028,17,大宮,2018,第5
1029,18,岐阜,2018,第5
1030,19,栃木,2018,第5
1031,20,松本,2018,第5
1032,21,愛媛,2018,第5
1033,22,讃岐,2018,第5
1034,1,岡山,2018,第6
1035,2,町田,2018,第6
1036,3,水戸,2018,第6
1037,4,山口,2018,第6
1038,5,大分,2018,第6
1039,6,新潟,2018,第6
1040,7,横浜FC,2018,第6
1041,8,東京Ｖ,2018,第6
1042,9,徳島,2018,第6
1043,10,熊本,2018,第6
1044,11,福岡,2018,第6
1045,12,千葉,2018,第6
1046,13,大宮,2018,第6
1047,13,岐阜,2018,第6
1048,15,栃木,2018,第6
1049,16,金沢,2018,第6
1050,17,山形,2018,第6
1051,18,甲府,2018,第6
1052,19,京都,2018,第6
1053,20,松本,2018,第6
1054,21,愛媛,2018,第6
1055,22,讃岐,2018,第6
1056,1,岡山,2018,第7
1057,2,町田,2018,第7
1058,3,大分,2018,第7
1059,4,山口,2018,第7
1060,5,東京Ｖ,2018,第7
1061,6,熊本,2018,第7
1062,7,水戸,2018,第7
1063,8,新潟,2018,第7
1064,9,福岡,2018,第7
1065,10,横浜FC,2018,第7
1066,11,金沢,2018,第7
1067,12,徳島,2018,第7
1068,13,甲府,2018,第7
1069,14,松本,2018,第7
1070,15,千葉,2018,第7
1071,16,岐阜,2018,第7
1072,17,大宮,2018,第7
1073,18,栃木,2018,第7
1074,19,山形,2018,第7
1075,20,京都,2018,第7
1076,21,愛媛,2018,第7
1077,22,讃岐,2018,第7
1078,1,岡山,2018,第8
1079,2,大分,2018,第8
1080,3,山口,2018,第8
1081,4,町田,2018,第8
1082,5,東京Ｖ,2018,第8
1083,6,熊本,2018,第8
1084,7,金沢,2018,第8
1085,8,水戸,2018,第8
1086,9,福岡,2018,第8
1087,10,横浜FC,2018,第8
1088,11,新潟,2018,第8
1089,12,徳島,2018,第8
1090,13,甲府,2018,第8
1091,14,山形,2018,第8
1092,15,松本,2018,第8
1093,16,岐阜,2018,第8
1094,17,栃木,2018,第8
1095,18,大宮,2018,第8
1096,19,千葉,2018,第8
1097,20,京都,2018,第8
1098,21,愛媛,2018,第8
1099,22,讃岐,2018,第8
1100,1,岡山,2018,第9
1101,2,大分,2018,第9
1102,3,山口,2018,第9
1103,4,町田,2018,第9
1104,5,東京Ｖ,2018,第9
1105,6,水戸,2018,第9
1106,7,福岡,2018,第9
1107,8,熊本,2018,第9
1108,9,横浜FC,2018,第9
1109,10,金沢,2018,第9
1110,11,山形,2018,第9
1111,12,松本,2018,第9
1112,13,新潟,2018,第9
1113,14,徳島,2018,第9
1114,15,栃木,2018,第9
1115,16,千葉,2018,第9
1116,17,甲府,2018,第9
1117,18,岐阜,2018,第9
1118,19,大宮,2018,第9
1119,20,愛媛,2018,第9
1120,21,京都,2018,第9
1121,22,讃岐,2018,第9
1122,1,大分,2018,第10
1123,2,岡山,2018,第10
1124,3,山口,2018,第10
1125,4,東京Ｖ,2018,第10
1126,5,福岡,2018,第10
1127,6,熊本,2018,第10
1128,7,町田,2018,第10
1129,8,水戸,2018,第10
1130,9,松本,2018,第10
1131,10,横浜FC,2018,第10
1132,11,金沢,2018,第10
1133,12,山形,2018,第10
1134,13,栃木,2018,第10
1135,14,新潟,2018,第10
1136,15,大宮,2018,第10
1137,16,徳島,2018,第10
1138,17,甲府,2018,第10
1139,18,岐阜,2018,第10
1140,19,千葉,2018,第10
1141,20,讃岐,2018,第10
1142,21,愛媛,2018,第10
1143,22,京都,2018,第10
1144,1,大分,2018,第11
1145,2,岡山,2018,第11
1146,3,山口,2018,第11
1147,4,福岡,2018,第11
1148,5,東京Ｖ,2018,第11
1149,6,熊本,2018,第11
1150,7,横浜FC,2018,第11
1151,8,町田,2018,第11
1152,9,金沢,2018,第11
1153,10,松本,2018,第11
1154,11,水戸,2018,第11
1155,12,栃木,2018,第11
1156,13,大宮,2018,第11
1157,14,新潟,2018,第11
1158,15,山形,2018,第11
1159,16,甲府,2018,第11
1160,17,徳島,2018,第11
1161,18,千葉,2018,第11
1162,19,岐阜,2018,第11
1163,20,讃岐,2018,第11
1164,21,京都,2018,第11
1165,22,愛媛,2018,第11
1166,1,大分,2018,第12
1167,2,岡山,2018,第12
1168,3,福岡,2018,第12
1169,4,山口,2018,第12
1170,5,横浜FC,2018,第12
1171,6,町田,2018,第12
1172,7,東京Ｖ,2018,第12
1173,8,松本,2018,第12
1174,9,栃木,2018,第12
1175,10,大宮,2018,第12
1176,11,新潟,2018,第12
1177,12,熊本,2018,第12
1178,13,金沢,2018,第12
1179,14,水戸,2018,第12
1180,15,徳島,2018,第12
1181,16,千葉,2018,第12
1182,17,岐阜,2018,第12
1183,18,甲府,2018,第12
1184,19,山形,2018,第12
1185,20,讃岐,2018,第12
1186,21,京都,2018,第12
1187,22,愛媛,2018,第12
1188,1,大分,2018,第13
1189,2,岡山,2018,第13
1190,3,山口,2018,第13
1191,4,福岡,2018,第13
1192,5,町田,2018,第13
1193,6,横浜FC,2018,第13
1194,7,栃木,2018,第13
1195,8,金沢,2018,第13
1196,9,東京Ｖ,2018,第13
1197,10,松本,2018,第13
1198,11,大宮,2018,第13
1199,12,新潟,2018,第13
1200,13,徳島,2018,第13
1201,14,千葉,2018,第13
1202,15,熊本,2018,第13
1203,16,岐阜,2018,第13
1204,17,甲府,2018,第13
1205,18,山形,2018,第13
1206,19,水戸,2018,第13
1207,20,讃岐,2018,第13
1208,21,愛媛,2018,第13
1209,22,京都,2018,第13
1210,1,大分,2018,第14
1211,2,山口,2018,第14
1212,3,福岡,2018,第14
1213,4,町田,2018,第14
1214,5,岡山,2018,第14
1215,6,横浜FC,2018,第14
1216,7,松本,2018,第14
1217,8,新潟,2018,第14
1218,9,徳島,2018,第14
1219,10,栃木,2018,第14
1220,11,甲府,2018,第14
1221,12,東京Ｖ,2018,第14
1222,13,水戸,2018,第14
1223,14,大宮,2018,第14
1224,15,金沢,2018,第14
1225,16,千葉,2018,第14
1226,17,熊本,2018,第14
1227,18,岐阜,2018,第14
1228,19,山形,2018,第14
1229,20,愛媛,2018,第14
1230,21,讃岐,2018,第14
1231,22,京都,2018,第14
1232,1,大分,2018,第15
1233,2,山口,2018,第15
1234,3,町田,2018,第15
1235,4,福岡,2018,第15
1236,5,岡山,2018,第15
1237,6,松本,2018,第15
1238,7,横浜FC,2018,第15
1239,8,甲府,2018,第15
1240,9,新潟,2018,第15
1241,10,徳島,2018,第15
1242,11,栃木,2018,第15
1243,12,熊本,2018,第15
1244,13,岐阜,2018,第15
1245,14,金沢,2018,第15
1246,15,東京Ｖ,2018,第15
1247,16,水戸,2018,第15
1248,17,大宮,2018,第15
1249,18,千葉,2018,第15
1250,19,山形,2018,第15
1251,20,京都,2018,第15
1252,21,愛媛,2018,第15
1253,22,讃岐,2018,第15
1254,1,大分,2018,第16
1255,2,山口,2018,第16
1256,3,福岡,2018,第16
1257,4,岡山,2018,第16
1258,5,横浜FC,2018,第16
1259,6,町田,2018,第16
1260,7,松本,2018,第16
1261,8,甲府,2018,第16
1262,9,岐阜,2018,第16
1263,10,徳島,2018,第16
1264,11,新潟,2018,第16
1265,12,大宮,2018,第16
1266,13,千葉,2018,第16
1267,14,山形,2018,第16
1268,15,栃木,2018,第16
1269,16,熊本,2018,第16
1270,17,東京Ｖ,2018,第16
1271,18,金沢,2018,第16
1272,19,水戸,2018,第16
1273,20,京都,2018,第16
1274,21,愛媛,2018,第16
1275,22,讃岐,2018,第16
1276,1,大分,2018,第17
1277,2,福岡,2018,第17
1278,3,山口,2018,第17
1279,4,町田,2018,第17
1280,5,岡山,2018,第17
1281,6,松本,2018,第17
1282,7,横浜FC,2018,第17
1283,8,岐阜,2018,第17
1284,9,甲府,2018,第17
1285,10,大宮,2018,第17
1286,11,徳島,2018,第17
1287,12,千葉,2018,第17
1288,13,新潟,2018,第17
1289,14,山形,2018,第17
1290,15,東京Ｖ,2018,第17
1291,16,栃木,2018,第17
1292,17,熊本,2018,第17
1293,18,金沢,2018,第17
1294,19,水戸,2018,第17
1295,20,京都,2018,第17
1296,21,愛媛,2018,第17
1297,22,讃岐,2018,第17
1298,1,福岡,2018,第18
1299,2,山口,2018,第18
1300,3,大分,2018,第18
1301,4,町田,2018,第18
1302,5,松本,2018,第18
1303,6,岡山,2018,第18
1304,7,岐阜,2018,第18
1305,8,横浜FC,2018,第18
1306,9,大宮,2018,第18
1307,10,甲府,2018,第18
1308,11,山形,2018,第18
1309,12,東京Ｖ,2018,第18
1310,13,徳島,2018,第18
1311,14,千葉,2018,第18
1312,15,新潟,2018,第18
1313,16,水戸,2018,第18
1314,17,栃木,2018,第18
1315,18,熊本,2018,第18
1316,19,金沢,2018,第18
1317,20,京都,2018,第18
1318,21,愛媛,2018,第18
1319,22,讃岐,2018,第18
1320,1,山口,2018,第19
1321,2,大分,2018,第19
1322,3,町田,2018,第19
1323,4,福岡,2018,第19
1324,5,松本,2018,第19
1325,6,岡山,2018,第19
1326,7,横浜FC,2018,第19
1327,8,岐阜,2018,第19
1328,9,大宮,2018,第19
1329,10,山形,2018,第19
1330,11,東京Ｖ,2018,第19
1331,12,千葉,2018,第19
1332,13,甲府,2018,第19
1333,14,新潟,2018,第19
1334,15,金沢,2018,第19
1335,16,徳島,2018,第19
1336,17,水戸,2018,第19
1337,18,熊本,2018,第19
1338,19,栃木,2018,第19
1339,20,京都,2018,第19
1340,21,愛媛,2018,第19
1341,22,讃岐,2018,第19
1342,1,大分,2018,第20
1343,2,山口,2018,第20
1344,3,町田,2018,第20
1345,4,福岡,2018,第20
1346,5,松本,2018,第20
1347,6,横浜FC,2018,第20
1348,7,大宮,2018,第20
1349,8,岡山,2018,第20
1350,9,山形,2018,第20
1351,10,東京Ｖ,2018,第20
1352,11,岐阜,2018,第20
1353,12,甲府,2018,第20
1354,13,新潟,2018,第20
1355,14,千葉,2018,第20
1356,15,水戸,2018,第20
1357,16,金沢,2018,第20
1358,17,徳島,2018,第20
1359,18,熊本,2018,第20
1360,19,栃木,2018,第20
1361,20,京都,2018,第20
1362,21,讃岐,2018,第20
1363,22,愛媛,2018,第20
1364,1,大分,2018,第21
1365,2,山口,2018,第21
1366,3,町田,2018,第21
1367,4,松本,2018,第21
1368,5,福岡,2018,第21
1369,6,横浜FC,2018,第21
1370,7,山形,2018,第21
1371,8,大宮,2018,第21
1372,9,東京Ｖ,2018,第21
1373,10,岡山,2018,第21
1374,11,岐阜,2018,第21
1375,12,甲府,2018,第21
1376,13,千葉,2018,第21
1377,14,新潟,2018,第21
1378,15,徳島,2018,第21
1379,16,水戸,2018,第21
1380,17,金沢,2018,第21
1381,18,熊本,2018,第21
1382,19,栃木,2018,第21
1383,20,讃岐,2018,第21
1384,21,京都,2018,第21
1385,22,愛媛,2018,第21
1386,1,松本,2018,第22
1387,2,大分,2018,第22
1388,3,山口,2018,第22
1389,4,町田,2018,第22
1390,5,福岡,2018,第22
1391,6,横浜FC,2018,第22
1392,7,大宮,2018,第22
1393,8,岡山,2018,第22
1394,9,山形,2018,第22
1395,10,東京Ｖ,2018,第22
1396,11,甲府,2018,第22
1397,12,岐阜,2018,第22
1398,13,金沢,2018,第22
1399,14,水戸,2018,第22
1400,15,徳島,2018,第22
1401,16,千葉,2018,第22
1402,17,新潟,2018,第22
1403,18,栃木,2018,第22
1404,19,熊本,2018,第22
1405,20,愛媛,2018,第22
1406,21,讃岐,2018,第22
1407,22,京都,2018,第22
1408,1,松本,2018,第23
1409,2,町田,2018,第23
1410,3,大分,2018,第23
1411,4,山口,2018,第23
1412,5,福岡,2018,第23
1413,6,横浜FC,2018,第23
1414,7,大宮,2018,第23
1415,8,東京Ｖ,2018,第23
1416,9,岡山,2018,第23
1417,10,山形,2018,第23
1418,11,岐阜,2018,第23
1419,12,甲府,2018,第23
1420,13,金沢,2018,第23
1421,14,水戸,2018,第23
1422,15,徳島,2018,第23
1423,16,千葉,2018,第23
1424,17,新潟,2018,第23
1425,18,栃木,2018,第23
1426,19,熊本,2018,第23
1427,20,愛媛,2018,第23
1428,21,讃岐,2018,第23
1429,22,京都,2018,第23
1430,1,松本,2018,第24
1431,2,町田,2018,第24
1432,3,横浜FC,2018,第24
1433,4,大分,2018,第24
1434,5,山口,2018,第24
1435,6,福岡,2018,第24
1436,7,大宮,2018,第24
1437,8,東京Ｖ,2018,第24
1438,9,岡山,2018,第24
1439,10,甲府,2018,第24
1440,11,山形,2018,第24
1441,12,岐阜,2018,第24
1442,13,水戸,2018,第24
1443,14,金沢,2018,第24
1444,15,徳島,2018,第24
1445,16,新潟,2018,第24
1446,17,千葉,2018,第24
1447,18,栃木,2018,第24
1448,19,愛媛,2018,第24
1449,20,熊本,2018,第24
1450,21,讃岐,2018,第24
1451,22,京都,2018,第24
1452,1,松本,2018,第25
1453,2,町田,2018,第25
1454,3,横浜FC,2018,第25
1455,4,山口,2018,第25
1456,5,大分,2018,第25
1457,6,福岡,2018,第25
1458,7,東京Ｖ,2018,第25
1459,8,大宮,2018,第25
1460,9,山形,2018,第25
1461,10,岡山,2018,第25
1462,11,甲府,2018,第25
1463,12,徳島,2018,第25
1464,13,水戸,2018,第25
1465,14,岐阜,2018,第25
1466,15,金沢,2018,第25
1467,16,千葉,2018,第25
1468,17,新潟,2018,第25
1469,18,栃木,2018,第25
1470,19,愛媛,2018,第25
1471,20,讃岐,2018,第25
1472,21,熊本,2018,第25
1473,22,京都,2018,第25
1474,1,松本,2018,第26
1475,2,町田,2018,第26
1476,3,大分,2018,第26
1477,4,横浜FC,2018,第26
1478,5,東京Ｖ,2018,第26
1479,6,山口,2018,第26
1480,7,大宮,2018,第26
1481,8,福岡,2018,第26
1482,9,山形,2018,第26
1483,10,水戸,2018,第26
1484,11,岡山,2018,第26
1485,12,甲府,2018,第26
1486,13,徳島,2018,第26
1487,14,千葉,2018,第26
1488,15,金沢,2018,第26
1489,16,岐阜,2018,第26
1490,17,新潟,2018,第26
1491,18,栃木,2018,第26
1492,19,愛媛,2018,第26
1493,20,讃岐,2018,第26
1494,21,熊本,2018,第26
1495,22,京都,2018,第26
1496,1,松本,2018,第27
1497,2,町田,2018,第27
1498,3,大分,2018,第27
1499,4,東京Ｖ,2018,第27
1500,5,福岡,2018,第27
1501,6,横浜FC,2018,第27
1502,7,山口,2018,第27
1503,8,大宮,2018,第27
1504,9,岡山,2018,第27
1505,10,徳島,2018,第27
1506,11,山形,2018,第27
1507,12,水戸,2018,第27
1508,13,金沢,2018,第27
1509,14,甲府,2018,第27
1510,15,千葉,2018,第27
1511,16,岐阜,2018,第27
1512,17,栃木,2018,第27
1513,18,愛媛,2018,第27
1514,19,新潟,2018,第27
1515,20,讃岐,2018,第27
1516,21,熊本,2018,第27
1517,22,京都,2018,第27
1518,1,松本,2018,第28
1519,2,大分,2018,第28
1520,3,町田,2018,第28
1521,4,福岡,2018,第28
1522,5,横浜FC,2018,第28
1523,6,東京Ｖ,2018,第28
1524,7,大宮,2018,第28
1525,8,山口,2018,第28
1526,9,山形,2018,第28
1527,10,徳島,2018,第28
1528,11,岡山,2018,第28
1529,12,甲府,2018,第28
1530,13,水戸,2018,第28
1531,14,金沢,2018,第28
1532,15,栃木,2018,第28
1533,16,千葉,2018,第28
1534,17,岐阜,2018,第28
1535,18,愛媛,2018,第28
1536,19,新潟,2018,第28
1537,20,讃岐,2018,第28
1538,21,熊本,2018,第28
1539,22,京都,2018,第28
1540,1,松本,2018,第29
1541,2,町田,2018,第29
1542,3,大分,2018,第29
1543,4,横浜FC,2018,第29
1544,5,大宮,2018,第29
1545,6,東京Ｖ,2018,第29
1546,7,福岡,2018,第29
1547,8,山口,2018,第29
1548,9,徳島,2018,第29
1549,10,岡山,2018,第29
1550,11,山形,2018,第29
1551,12,水戸,2018,第29
1552,13,栃木,2018,第29
1553,14,甲府,2018,第29
1554,15,金沢,2018,第29
1555,16,千葉,2018,第29
1556,17,愛媛,2018,第29
1557,18,岐阜,2018,第29
1558,19,新潟,2018,第29
1559,20,熊本,2018,第29
1560,21,京都,2018,第29
1561,22,讃岐,2018,第29
1562,1,町田,2018,第30
1563,2,松本,2018,第30
1564,3,横浜FC,2018,第30
1565,4,大分,2018,第30
1566,5,福岡,2018,第30
1567,6,東京Ｖ,2018,第30
1568,7,大宮,2018,第30
1569,8,徳島,2018,第30
1570,9,岡山,2018,第30
1571,10,山口,2018,第30
1572,11,水戸,2018,第30
1573,12,山形,2018,第30
1574,13,栃木,2018,第30
1575,14,金沢,2018,第30
1576,15,甲府,2018,第30
1577,16,千葉,2018,第30
1578,17,愛媛,2018,第30
1579,18,岐阜,2018,第30
1580,19,新潟,2018,第30
1581,20,京都,2018,第30
1582,21,熊本,2018,第30
1583,22,讃岐,2018,第30
1584,1,町田,2018,第31
1585,2,松本,2018,第31
1586,3,横浜FC,2018,第31
1587,4,福岡,2018,第31
1588,5,東京Ｖ,2018,第31
1589,6,大宮,2018,第31
1590,7,大分,2018,第31
1591,8,徳島,2018,第31
1592,9,岡山,2018,第31
1593,10,山形,2018,第31
1594,11,山口,2018,第31
1595,12,水戸,2018,第31
1596,13,栃木,2018,第31
1597,14,金沢,2018,第31
1598,15,甲府,2018,第31
1599,16,千葉,2018,第31
1600,17,愛媛,2018,第31
1601,18,岐阜,2018,第31
1602,19,新潟,2018,第31
1603,20,京都,2018,第31
1604,21,熊本,2018,第31
1605,22,讃岐,2018,第31
1606,1,町田,2018,第32
1607,2,松本,2018,第32
1608,3,横浜FC,2018,第32
1609,4,東京Ｖ,2018,第32
1610,5,大分,2018,第32
1611,6,福岡,2018,第32
1612,7,大宮,2018,第32
1613,8,徳島,2018,第32
1614,9,岡山,2018,第32
1615,10,山形,2018,第32
1616,11,水戸,2018,第32
1617,12,山口,2018,第32
1618,13,千葉,2018,第32
1619,14,栃木,2018,第32
1620,15,金沢,2018,第32
1621,16,甲府,2018,第32
1622,17,愛媛,2018,第32
1623,18,新潟,2018,第32
1624,19,岐阜,2018,第32
1625,20,京都,2018,第32
1626,21,熊本,2018,第32
1627,22,讃岐,2018,第32
1628,1,松本,2018,第33
1629,2,町田,2018,第33
1630,3,大分,2018,第33
1631,4,東京Ｖ,2018,第33
1632,5,横浜FC,2018,第33
1633,6,大宮,2018,第33
1634,7,福岡,2018,第33
1635,8,徳島,2018,第33
1636,9,岡山,2018,第33
1637,10,山形,2018,第33
1638,11,水戸,2018,第33
1639,12,山口,2018,第33
1640,13,千葉,2018,第33
1641,14,栃木,2018,第33
1642,15,金沢,2018,第33
1643,16,甲府,2018,第33
1644,17,愛媛,2018,第33
1645,18,新潟,2018,第33
1646,19,岐阜,2018,第33
1647,20,京都,2018,第33
1648,21,熊本,2018,第33
1649,22,讃岐,2018,第33
1650,1,松本,2018,第34
1651,2,町田,2018,第34
1652,3,大分,2018,第34
1653,4,横浜FC,2018,第34
1654,5,大宮,2018,第34
1655,6,福岡,2018,第34
1656,7,東京Ｖ,2018,第34
1657,8,徳島,2018,第34
1658,9,山形,2018,第34
1659,10,岡山,2018,第34
1660,11,水戸,2018,第34
1661,12,甲府,2018,第34
1662,13,山口,2018,第34
1663,14,栃木,2018,第34
1664,15,金沢,2018,第34
1665,16,千葉,2018,第34
1666,17,新潟,2018,第34
1667,18,愛媛,2018,第34
1668,19,岐阜,2018,第34
1669,20,京都,2018,第34
1670,21,熊本,2018,第34
1671,22,讃岐,2018,第34
1672,1,松本,2018,第35
1673,2,大分,2018,第35
1674,3,町田,2018,第35
1675,4,福岡,2018,第35
1676,5,東京Ｖ,2018,第35
1677,6,横浜FC,2018,第35
1678,7,大宮,2018,第35
1679,8,徳島,2018,第35
1680,9,山形,2018,第35
1681,10,岡山,2018,第35
1682,11,山口,2018,第35
1683,12,水戸,2018,第35
1684,13,金沢,2018,第35
1685,14,甲府,2018,第35
1686,15,栃木,2018,第35
1687,16,千葉,2018,第35
1688,17,新潟,2018,第35
1689,18,愛媛,2018,第35
1690,19,京都,2018,第35
1691,20,岐阜,2018,第35
1692,21,熊本,2018,第35
1693,22,讃岐,2018,第35
1694,1,大分,2018,第36
1695,2,松本,2018,第36
1696,3,町田,2018,第36
1697,4,福岡,2018,第36
1698,5,大宮,2018,第36
1699,6,東京Ｖ,2018,第36
1700,7,横浜FC,2018,第36
1701,8,徳島,2018,第36
1702,9,山形,2018,第36
1703,10,山口,2018,第36
1704,11,金沢,2018,第36
1705,12,岡山,2018,第36
1706,13,甲府,2018,第36
1707,14,水戸,2018,第36
1708,15,千葉,2018,第36
1709,16,栃木,2018,第36
1710,17,新潟,2018,第36
1711,18,愛媛,2018,第36
1712,19,京都,2018,第36
1713,20,岐阜,2018,第36
1714,21,熊本,2018,第36
1715,22,讃岐,2018,第36
1716,1,松本,2018,第37
1717,2,大分,2018,第37
1718,3,町田,2018,第37
1719,4,福岡,2018,第37
1720,5,大宮,2018,第37
1721,6,横浜FC,2018,第37
1722,7,東京Ｖ,2018,第37
1723,8,徳島,2018,第37
1724,9,山形,2018,第37
1725,10,山口,2018,第37
1726,11,甲府,2018,第37
1727,12,金沢,2018,第37
1728,13,岡山,2018,第37
1729,14,千葉,2018,第37
1730,15,水戸,2018,第37
1731,16,新潟,2018,第37
1732,17,栃木,2018,第37
1733,18,愛媛,2018,第37
1734,19,京都,2018,第37
1735,20,岐阜,2018,第37
1736,21,讃岐,2018,第37
1737,22,熊本,2018,第37
1738,1,松本,2018,第38
1739,2,大分,2018,第38
1740,3,町田,2018,第38
1741,4,東京Ｖ,2018,第38
1742,5,福岡,2018,第38
1743,6,大宮,2018,第38
1744,7,横浜FC,2018,第38
1745,8,徳島,2018,第38
1746,9,甲府,2018,第38
1747,10,山形,2018,第38
1748,11,岡山,2018,第38
1749,12,山口,2018,第38
1750,13,金沢,2018,第38
1751,14,水戸,2018,第38
1752,15,新潟,2018,第38
1753,16,千葉,2018,第38
1754,17,栃木,2018,第38
1755,18,愛媛,2018,第38
1756,19,京都,2018,第38
1757,20,岐阜,2018,第38
1758,21,讃岐,2018,第38
1759,22,熊本,2018,第38
1760,1,大分,2018,第39
1761,2,松本,2018,第39
1762,3,町田,2018,第39
1763,4,横浜FC,2018,第39
1764,5,東京Ｖ,2018,第39
1765,6,福岡,2018,第39
1766,7,大宮,2018,第39
1767,8,甲府,2018,第39
1768,9,山口,2018,第39
1769,10,徳島,2018,第39
1770,11,水戸,2018,第39
1771,12,岡山,2018,第39
1772,13,山形,2018,第39
1773,14,新潟,2018,第39
1774,15,金沢,2018,第39
1775,16,千葉,2018,第39
1776,17,栃木,2018,第39
1777,18,愛媛,2018,第39
1778,19,京都,2018,第39
1779,20,岐阜,2018,第39
1780,21,讃岐,2018,第39
1781,22,熊本,2018,第39
1782,1,松本,2018,第40
1783,2,大分,2018,第40
1784,3,町田,2018,第40
1785,4,横浜FC,2018,第40
1786,5,東京Ｖ,2018,第40
1787,6,福岡,2018,第40
1788,7,大宮,2018,第40
1789,8,山口,2018,第40
1790,9,甲府,2018,第40
1791,10,水戸,2018,第40
1792,11,山形,2018,第40
1793,12,徳島,2018,第40
1794,13,岡山,2018,第40
1795,14,金沢,2018,第40
1796,15,新潟,2018,第40
1797,16,千葉,2018,第40
1798,17,栃木,2018,第40
1799,18,愛媛,2018,第40
1800,19,京都,2018,第40
1801,20,岐阜,2018,第40
1802,21,熊本,2018,第40
1803,22,讃岐,2018,第40
1804,1,松本,2018,第41
1805,2,大分,2018,第41
1806,3,町田,2018,第41
1807,4,横浜FC,2018,第41
1808,5,東京Ｖ,2018,第41
1809,6,福岡,2018,第41
1810,7,大宮,2018,第41
1811,8,甲府,2018,第41
1812,9,山口,2018,第41
1813,10,水戸,2018,第41
1814,11,徳島,2018,第41
1815,12,山形,2018,第41
1816,13,千葉,2018,第41
1817,14,岡山,2018,第41
1818,15,新潟,2018,第41
1819,16,金沢,2018,第41
1820,17,栃木,2018,第41
1821,18,愛媛,2018,第41
1822,19,岐阜,2018,第41
1823,20,京都,2018,第41
1824,21,熊本,2018,第41
1825,22,讃岐,2018,第41
1826,1,松本,2018,第42
1827,2,大分,2018,第42
1828,3,横浜FC,2018,第42
1829,4,町田,2018,第42
1830,5,大宮,2018,第42
1831,6,東京Ｖ,2018,第42
1832,7,福岡,2018,第42
1833,8,山口,2018,第42
1834,9,甲府,2018,第42
1835,10,水戸,2018,第42
1836,11,徳島,2018,第42
1837,12,山形,2018,第42
1838,13,金沢,2018,第42
1839,14,千葉,2018,第42
1840,15,岡山,2018,第42
1841,16,新潟,2018,第42
1842,17,栃木,2018,第42
1843,18,愛媛,2018,第42
1844,19,京都,2018,第42
1845,20,岐阜,2018,第42
1846,21,熊本,2018,第42
1847,22,讃岐,2018,第42
1848,1,琉球,2019,第1
1849,2,岐阜,2019,第1
1850,3,鹿児島,2019,第1
1851,4,柏,2019,第1
1852,5,水戸,2019,第1
1853,5,町田,2019,第1
1854,5,長崎,2019,第1
1855,8,栃木,2019,第1
1856,8,大宮,2019,第1
1857,8,千葉,2019,第1
1858,8,甲府,2019,第1
1859,8,新潟,2019,第1
1860,8,金沢,2019,第1
1861,8,京都,2019,第1
1862,8,愛媛,2019,第1
1863,16,徳島,2019,第1
1864,17,山口,2019,第1
1865,18,東京Ｖ,2019,第1
1866,18,横浜FC,2019,第1
1867,18,岡山,2019,第1
1868,21,福岡,2019,第1
1869,22,山形,2019,第1
1870,1,水戸,2019,第2
1871,2,琉球,2019,第2
1872,3,柏,2019,第2
1873,4,甲府,2019,第2
1874,5,新潟,2019,第2
1875,6,京都,2019,第2
1876,7,愛媛,2019,第2
1877,7,長崎,2019,第2
1878,9,岐阜,2019,第2
1879,10,鹿児島,2019,第2
1880,11,徳島,2019,第2
1881,12,山形,2019,第2
1882,12,岡山,2019,第2
1883,14,町田,2019,第2
1884,15,大宮,2019,第2
1885,16,金沢,2019,第2
1886,17,福岡,2019,第2
1887,18,千葉,2019,第2
1888,19,栃木,2019,第2
1889,20,東京Ｖ,2019,第2
1890,21,横浜FC,2019,第2
1891,22,山口,2019,第2
1892,1,琉球,2019,第3
1893,2,水戸,2019,第3
1894,3,柏,2019,第3
1895,4,甲府,2019,第3
1896,5,京都,2019,第3
1897,6,山形,2019,第3
1898,7,岐阜,2019,第3
1899,8,新潟,2019,第3
1900,9,大宮,2019,第3
1901,10,長崎,2019,第3
1902,11,愛媛,2019,第3
1903,12,山口,2019,第3
1904,13,鹿児島,2019,第3
1905,14,徳島,2019,第3
